"date","time","text","download_time"
"2023/09/26（二）","下午12:33","＊＊＊  歡迎加入阿銘之友！
台灣人民希望改變，改變帶給人民希望，此時此刻就是改變好時機！我郭台銘，宣布參選2024總統大選，為的就是要推動在野整合。
現在連署已全面展開，邀請你在LINE上動動手指查詢連署教學、下載連署書，更能參與「百萬連署挺台銘」任務活動，解鎖成就勳章，和阿銘大玩互動遊戲！
改變台灣Good TiMING，就從一份連署書開始！","2023/10/12 15:02"
"2023/09/26（二）","下午12:33","歡迎加入阿銘之友，和我聊聊天！","2023/10/12 15:02"
"2023/09/26（二）","下午05:00","㊗月到中秋分外明，節日喜氣伴你行🌕
🐇「百萬連署挺台銘–任務五，中秋齊連署」上線啦！
快來看看台灣阿銘準備了什麼樣的中秋驚喜，與您一同過中秋！🇹🇼
中秋連假，阿銘也提醒大家除了注意出行安全。並別忘了月餅熱量高，吃太多美食的話，記得立即出門動起來！與家人到各地連署站，一起來共話中秋，連署好時節！
👇👇快點擊下方月亮來領賀卡","2023/10/12 15:02"
"2023/09/26（二）","下午05:00","您收到一份來自台灣阿銘的賀卡！","2023/10/12 15:02"
"2023/09/27（三）","上午08:00","第七波站點就位！苗栗、台中新增大量站點！
每一位朋友，所填寫的每一份連署書，對我而言，象徵著沉重的責任，以及改變台灣、點亮時代的希望。我深知任重道遠，也信心滿滿，我們將會贏得這一仗，將榮耀歸於台灣人民！
明天起，基隆、台北、新北、苗栗、台中與高雄將會開設更多站點。請大家將圖片轉傳出去，或是進官網點擊「 #連署站點查詢 」，就能找到離自己最近的連署站！
我會將站點小地圖放在留言區，如果找不到站點，也不用擔心，站點開設地非常快速。也請善用 #郵寄連署 管道，只要加入LINE官方帳號，點選「連署須知」，就有完整教學，謝謝大家！
📌連署站點地圖：map.voteforterry.tw/map","2023/10/12 15:02"
"2023/09/27（三）","上午08:00","第七波站點就位！苗栗、台中新增大量站點！","2023/10/12 15:02"
"2023/09/29（五）","上午09:00","第九波站點更新，桃園、高雄的朋友照過來！
連署站點遍地開花，今天台北、桃園與高雄新增站點後，請大家傳給在地的朋友，一同去連署站，改變台灣的未來！
明日起，我們也將改變宣傳形式，向各位介紹 #連署站地圖，點擊就可以馬上找到離自己最近的連署站！歡迎來連署的大家，一定要在站外拍照，並發文打卡看見你的行動，讓你亟欲改變國家的熱情，感染所有朋友！
此外，大家也可以善用 #郵寄連署 管道，只要加入LINE官方帳號，點選「連署須知」，就能看到完整教學，謝謝大家！
📌找到最近的連署站：map.voteforterry.tw/map","2023/10/12 15:02"
"2023/09/29（五）","上午09:00","第九波站點更新","2023/10/12 15:02"
"2023/09/29（五）","下午12:01","中秋月圓人團圓，全家一起簽名挺台銘！
一家團聚，就是最好的幸福。一家團結，就能一起改變台灣！
郭台銘總統連署啟動中，攜帶身分證到最近的連署站，一起為下一代打造更好的未來！
📌找到最近的連署站：map.voteforterry.tw/map","2023/10/12 15:02"
"2023/09/29（五）","下午12:01","[影片]","2023/10/12 15:02"
"2023/09/30（六）","下午07:06","[照片]","2023/10/12 15:02"
"2023/09/30（六）","下午07:06","中秋連假，在團圓的日子，來聽聽佩霞的主題式沙龍：
「青銀世代溝通，如何開啟愛的語言？」
學習非暴力溝通，讓人與人之間的關係更加圓滿！
🔔直播連結：https://www.youtube.com/live/pQmEn9nDMJI?si=frTHLsKHB_blDNk0","2023/10/12 15:02"
"2023/09/30（六）","下午11:13","台北的朋友，歡迎來行動連署車喝咖啡！
中秋連假，三創生活園區一樓市民大道三段（市民出口外）、八德路一段（八德廣場）兩處，將展開行動連署站連署活動！
我相信，選舉是理念的推廣，更該是勤奮的展現。行動連署車將走遍大街小巷，將主流民意大聯盟的理念傳遞給每一個人！
連假最後一天，歡迎大家來三創走走，謝謝大家！","2023/10/12 15:02"
"2023/09/30（六）","下午11:13","[照片]","2023/10/12 15:02"
"2023/10/01（日）","上午09:00","打開連署站小地圖，立即找到最近站點！
今天是第十波更新，從新北到高雄，又新增了更多的連署站點！連署開跑十天來，我們的站點已經翻了十倍，要如何找到離自己最近的站點？
在這邊，我們推出最高效率的小工具： #連署站地圖 ！第一步，大家請到LINE官方帳號點擊「立即連署」，「查看附近連署站」，或是在官方網站點擊「連署站點查詢」，就能立即進入地圖。
點進地圖後，只要點擊右下方的「📍」#座標符號 ，就可以找到離自己最近的連署站！再點一下連署站，按下「#導航 」，路線馬上就會跳出來，保證直覺、方便、快速！
如果附近暫時找不到站點，也請不要著急，站點還會持續新增，大家也可以善用 #郵寄連署 管道，只要加入LINE官方帳號，點選「連署須知」，就能看到完整教學，謝謝大家！
📌連署站點地圖： map.voteforterry.tw/map","2023/10/12 15:02"
"2023/10/01（日）","上午09:00","[照片]","2023/10/12 15:02"
"2023/10/01（日）","上午09:06","[照片]","2023/10/12 15:02"
"2023/10/01（日）","下午08:16","彰化朋友看過來，有大量的連署站點開張了！
昨天公布的 #連署站地圖 ，是不是很方便呢？動動手指簡單三步驟，5秒內就能找到最近的站點，請大家一定要試試！
今天第十一波更新，我們在彰化開設了更多連署點，從鹿港、伸港、和美、員林、西湖到田中，四處遍地開花，只等各位在連署書上簽下大名！
這場選戰，我們的背後沒有黨意，只有民意，大家的熱情支持，就是我們最堅強的依靠。所有的推薦，對我們都是不可或缺的幫助！請彰化的朋友踴躍分享，明年1/13日，讓所有人看見主流民意的力量！
＝＝＝＝第十一波新增站點＝＝＝＝
📍彰化縣 鹿港鄉 中正路386號 
📍彰化縣 伸港鄉 中興路一段293號 
📍彰化縣 和美鎮 糖友一街70號 
📍彰化縣 員林市 員水路一段192號 
📍彰化縣 員林市 和平街5-3號 
📍彰化縣 員林市 惠明街161號 
📍彰化縣 員林市 南昌路11號 
📍彰化縣 溪湖鎮 東興路8號 
📍彰化縣 田中鎮 新生街101號
📌連署站點地圖： map.voteforterry.tw/map","2023/10/12 15:02"
"2023/10/01（日）","下午08:16","彰化朋友看過來，有大量的連署站點開張了！","2023/10/12 15:02"
"2023/10/03（二）","上午09:02","金門連署總站正式上線，苗栗新增大量站點！
各位朋友請注意！我們在金門開設了第一個連署總站，希望金門的朋友，也能參與改變台灣的歷史，用簽名挺阿銘！
從頭份到竹南，今天有大量站點加入這場運動的行列，目前連署書數量正穩定增長之中，我們信心十足！各地也不斷傳來捷報，所以對於太天馬行空的猜測，笑笑就好。
當我走訪台灣的每個角落，所握的每一雙手，都傳達出對於企業家治國的高度期待，這是最真實、也直接的民意展現，無法被任何偏見所掩蓋。請金門與苗栗的朋友，能夠踴躍分享站點資訊，一同為台灣打贏這場勝仗，謝謝大家！
📌連署站點地圖： map.voteforterry.tw/map","2023/10/12 15:02"
